company_name,security_name,company_url,trading_code,scrip_code,isin,last_trading_price,last_trading_yield,closing_price,last_update,days_range,change_prev,change_next,days_value,fiftytwo_weeks_moving_range,opening_price,days_volume,adjusted_opening_price,days_trade,yesterday_closing_price,market_capitalization,remaining_maturity,issuer,tenure,issue_date,cupon_rate,debut_trading_date_basic,cupon_frequency,maturity_date,security_catagory,electronic_share_basic,year_basis,authorized_capital,debut_trading_date,paid_up_capital,type_of_instrument,face_par_value,market_lot,total_outstanding_security,sector,address_head_office,address_factory,address_issuer,concern_department,contact_phone,fax,email,web,company_secretary_name,secretary_cell_no,secretary_telephone_no,secratary_email,listing_year,market_catagory,electronic_share,share_holding_percent_1,sponsor_or_director_1,govt_1,institute_1,foreign_1,public_1,share_holding_percent_2,sponsor_or_director_2,govt_2,institute_2,foreign_2,public_2,share_holding_percent_3,sponsor_or_director_3,govt_3,institute_3,foreign_3,public_3,remarks
aamra networks limited,N/A,https://www.dsebd.org/displayCompany.php?name=AAMRANET,AAMRANET,22649,N/A,53.90,N/A,53.90,3:10 PM,53.60 - 57.20,-0.7,-1.28%,163.34,34.70 - 57.20,54.70,"2,971,956.00",54.60,"2,690",54.60,"3,223.304",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,000.00","02 Oct, 2017",590.35,Equity,10.0,1,"59,034,865",IT Sector,"Safura Tower (9th Floor)rn20 Kemal Ataturk AvenuernBanani, Dhaka-1213",N/A,N/A,N/A,"8802-8832446, 8802-941100",N/A,aamranet.sharedept@aamra.com.bd,http://www.aamra.com.bd,Syed Moniruzzaman,01713477405,8802-8832446 Ext-140,syed.moniruzzaman@aamra.com.bd,2017,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",33.04,0.00,27.93,15.98,23.05,"Share Holding Percentage
                    [as on Sep 30, 2022]",33.04,0.00,26.65,0.00,40.31,"Share Holding Percentage
                    [as on Oct 31, 2022]",33.04,0.00,27.07,0.00,39.89,N/A
aamra technologies limited,N/A,https://www.dsebd.org/displayCompany.php?name=AAMRATECH,AAMRATECH,22647,N/A,40.50,N/A,40.50,3:10 PM,40.20 - 42.40,-0.6,-1.46%,40.62,27.20 - 59.40,41.00,"982,936.00",41.10,"1,200",41.10,"2,508.940",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,000.00",N/A,610.45,Equity,10.0,1,"61,044,757",IT Sector,"Safura Tower (9th Floor)rn20 Kemal Ataturk AvenuernBanani, Dhaka-1213",N/A,N/A,N/A,"8802-9822146, 8802-8832446,8802-8832446",+88 02 9820605,aamratech.sharedept@aamra.com.bd,http://www.aamra.com.bd,Syed Moniruzzaman,01713477405,8802-8832446   Ext-140,syed.moniruzzaman@aamra.com.bd,2012,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",30.00,0.00,47.41,0.00,22.59,"Share Holding Percentage
                    [as on Sep 30, 2022]",30.01,0.00,32.66,0.00,37.33,"Share Holding Percentage
                    [as on Oct 31, 2022]",30.01,0.00,40.86,0.00,29.13,N/A
AB Bank 1st Mutual fund,N/A,https://www.dsebd.org/displayCompany.php?name=ABB1STMF,ABB1STMF,12189,N/A,N/A,N/A,5.20,3:10 PM,N/A,N/A,-100.00%,N/A,5.10 - 6.10,N/A,N/A,5.20,N/A,5.20,"1,243.270",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"29 Jan, 2012","2,390.90",Corporate Bond,10.0,1,"239,090,396",Mutual Funds,"Sky View Henolux Center, Office No: C-1, 1st Floor, 3/1, Purana Paltan, Dhaka-1000",N/A,N/A,N/A,"01302-399597, 01309-402782",88 02 9361530,info@racebd.com,http://www.racebd.com,N/A,N/A,N/A,N/A,2012,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]",15.51,0.00,21.56,0.00,62.93,"Share Holding Percentage
                    [as on Sep 30, 2022]",15.51,0.00,14.40,0.00,70.09,"Share Holding Percentage
                    [as on Oct 31, 2022]",15.51,0.00,14.40,0.00,70.09,N/A
AB Bank Limited,N/A,https://www.dsebd.org/displayCompany.php?name=ABBANK,ABBANK,11101,N/A,9.90,N/A,9.90,3:10 PM,9.90 - 9.90,0,0.00%,0.07,9.80 - 15.10,9.90,"6,610.00",9.90,7,9.90,"8,523.047",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"15,000.00",N/A,"8,609.14",Equity,10.0,1,"860,913,831",Bank,"The Skymark, 18 Gulshan Avenue, Gulshan-1, Dhaka-1212",N/A,N/A,N/A,"+880 9678555678, +880 9678555634",+880-2-58814290,info@abbl.com; cs@abbl.com; mashiur@abbl.com,http://www.abbl.com,"Md. Jasim Uddin, FCS",+88 01819 145 156; +88 01717 201 617,+880 9678555498; +880 9678555634,"juddin@abbl.com, cs@abbl.com",1983,B,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",31.67,0.57,23.49,0.88,43.39,"Share Holding Percentage
                    [as on Sep 30, 2022]",31.67,0.57,23.00,0.79,43.97,"Share Holding Percentage
                    [as on Oct 31, 2022]",31.67,0.57,22.90,0.79,44.07,"TK. 758,171,036 Revaluation Reserve has been added to Reserve & Surplus."
Aman Cotton Fibrous Limited,N/A,https://www.dsebd.org/displayCompany.php?name=ACFL,ACFL,17477,N/A,26.50,N/A,26.50,3:10 PM,26.50 - 26.50,0,0.00%,0.02,24.70 - 36.30,26.50,797.00,26.50,3,26.50,"2,672.083",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,000.00","06 Aug, 2018","1,008.33",Equity,10.0,1,"100,833,333",Textile,"2, Ishakha Avenue, Sector # 6, UttararnDhaka-1230",N/A,N/A,N/A,"+880-2-48961, 09612613000, +880 62552740",880-2-58950510,s.islam@amangroupbd.com,https://www.amancotton.com,"Shariful Islam, CMA-Inter",01728-272596,N/A,s.islam@amangroupbd.com,2018,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",72.20,0.00,9.50,0.08,18.22,"Share Holding Percentage
                    [as on Sep 30, 2022]",49.58,0.00,10.67,0.10,39.65,"Share Holding Percentage
                    [as on Oct 31, 2022]",49.58,0.00,10.57,0.10,39.75,N/A
ACI  Limited,N/A,https://www.dsebd.org/displayCompany.php?name=ACI,ACI,18455,N/A,260.20,N/A,260.20,3:10 PM,260.20 - 260.20,0,0.00%,0.30,260.20 - 328.50,260.20,"1,162.00",260.20,11,260.20,"18,884.480",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,500.00",N/A,725.77,Equity,10.0,1,"72,576,788",Pharmaceuticals & Chemicals,"ACI Centre, 245 Tejgaon I/A, Dhaka - 1208","7 Hajiganj Road, Godnail, Narayanganj",N/A,N/A,"8878603,  9556254",8878619.,info@aci-bd.com,http://www.aci-bd.com,Mr. Mohammad Mostafizur Rahman,+88 01713 053 053,8878603 Ext. 100,mostafizur.rahman@aci-bd.com,1976,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",35.28,0.00,43.04,0.00,21.68,"Share Holding Percentage
                    [as on Sep 30, 2022]",35.28,0.00,41.28,0.00,23.44,"Share Holding Percentage
                    [as on Oct 31, 2022]",35.28,0.00,41.49,0.00,23.23,"1. TK 6,632,367,409 Revaluation Reserve has been added to Reserve & Surplus."
ACI Formulations Limited,N/A,https://www.dsebd.org/displayCompany.php?name=ACIFORMULA,ACIFORMULA,18480,N/A,155.00,N/A,155.00,3:10 PM,155.00 - 155.00,0,0.00%,0.16,146.90 - 225.90,155.00,"1,037.00",155.00,4,155.00,"7,323.750",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500.00,N/A,472.50,Equity,10.0,1,"47,250,000",Pharmaceuticals & Chemicals,"ACI Centre, 245 Tejgaon, Industrial Area, Dhaka-1208","Gazaria, Bhawal Rajabari, Sreepur, Gazipur",N/A,N/A,"8802 8878603, 9556254",8878619.,"info@aci-bd.com,",http://www.aci-bd.com/acifl/,Mr. Mohammad Mostafizur Rahman,+88 01713 053 053,8878603 Ext. 100,mostafizur.rahman@aci-bd.com,2008,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",66.02,0.00,28.65,0.00,5.33,"Share Holding Percentage
                    [as on Sep 30, 2022]",66.02,0.00,17.70,0.00,16.28,"Share Holding Percentage
                    [as on Oct 31, 2022]",66.02,0.00,18.09,0.00,15.89,"TK 1,619,739,070 Revaluation Reserve has been added Reserve & Surplus."
The ACME Laboratories Limited,N/A,https://www.dsebd.org/displayCompany.php?name=ACMELAB,ACMELAB,18491,N/A,85.00,N/A,85.00,3:10 PM,85.00 - 85.00,0,0.00%,0.67,81.20 - 111.00,85.00,"7,903.00",85.00,25,85.00,"17,986.145",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"5,000.00","07 Jun, 2016","2,116.02",Equity,10.0,1,"211,601,700",Pharmaceuticals & Chemicals,"Court de la ACME, 1/4 Kallayanpur Mirpur Road, Dhaka-1207","Dhulivita, Dhamrai, Dhaka, Bangladesh",N/A,N/A,+88 02 9004194-6,+88 02 9039399,cs@acmeglobal.com,http://www.acmeglobal.com,"Md. Arshadul Kabir, FCA","+88 01777 765 233, 01937 404 568",+88 02 8091051-3 Ext-197,cs@acmeglobal.com,2016,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",41.74,0.00,30.84,0.13,27.29,"Share Holding Percentage
                    [as on Sep 30, 2022]",39.83,0.00,28.60,0.14,31.43,"Share Holding Percentage
                    [as on Oct 31, 2022]",39.83,0.00,29.65,0.14,30.38,"1.TK 5,183,844,849 Revaluation Reserve has been added to Reserve & Surplus."
ACME Pesticides Limited,N/A,https://www.dsebd.org/displayCompany.php?name=ACMEPL,ACMEPL,18496,N/A,35.40,N/A,35.40,3:10 PM,35.40 - 35.40,0,0.00%,0.07,25.80 - 45.70,35.40,"2,100.00",35.40,5,35.40,"4,779.000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,500.00","14 Nov, 2021","1,350.00",Equity,10.0,1,"135,000,000",Pharmaceuticals & Chemicals,"24/1 & 24/2, Hall Building (2nd Floor-West Side), Khiljee Road, Shyamoli, Dhaka-1207.","Doyarampur, Tarakanda, Mymensingh",N/A,N/A,+880-02-48118123,+880-2- 48118124,info@acmepesticides.com,http://www.acmepesticides.com,Md. Ariful Alam,+88 01985 772 222,N/A,acs2243@gmail.com,2021,N,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",31.80,0.00,24.56,2.22,41.41,"Share Holding Percentage
                    [as on Sep 30, 2022]",31.80,0.00,25.96,0.00,42.24,"Share Holding Percentage
                    [as on Oct 31, 2022]",31.80,0.00,24.92,0.00,43.28,N/A
Active Fine Chemicals Limited,N/A,https://www.dsebd.org/displayCompany.php?name=ACTIVEFINE,ACTIVEFINE,18483,N/A,19.30,N/A,19.30,3:10 PM,19.30 - 19.30,0,0.00%,0.12,18.90 - 31.50,19.30,"6,000.00",19.30,3,19.30,"4,630.776",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,000.00",N/A,"2,399.37",Equity,10.0,1,"239,936,580",Pharmaceuticals & Chemicals,"House# 87-89, Road# 04, Block# B, Niketon, Gulshan-1, Dhaka","West Moktarpur, Munshigonj",N/A,N/A,"88-02-8836830, 02-8836875",02-9531190,"afc@cs2018@gmail.com, active.fine.chemicals@gmail.com",http://www.afchem.com,Md. Mahbubur Rahman,+88 01992 024 696,02-9531023,afc.cs2018@gmail.com,2010,B,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",12.04,0.00,29.10,3.11,55.75,"Share Holding Percentage
                    [as on Sep 30, 2022]",12.04,0.00,23.64,3.11,61.21,"Share Holding Percentage
                    [as on Oct 31, 2022]",12.04,0.00,24.32,0.35,63.29,"TK 102,666,465 Revaluation Reserve has been added to Reserve & Surplus."
